Creator Name,Platform,Handle/Username,Profile URL,Follower Count,Email,Recent Post Date,Engagement Rate,Content Focus/Niche,Notes
Sudalai Raj Kumar,Twitter/X,@sudalairajkumar,https://twitter.com/sudalairajkumar,8600,,Jan 2026,High (Nano),"AI/ML, Kaggle, Data Science","4x Kaggle Grandmaster, AI Innovations at TigerAnalytics. Perfect for technical AI audience. Highly engaged nano influencer."
Granville DSC,Twitter/X,@granvilleDSC,https://twitter.com/granvilleDSC,9000,,Jan 2026,High (Nano),"ML Techniques, AI","Founder and self-publisher at ML Techniques. Strong technical credibility."
Sally Eaves,Instagram,@sally_eaves,https://instagram.com/sally_eaves,9800,,Jan 2026,4-6%,"AI, Blockchain, Tech Leadership","Tech CEO/CTO covering innovation, strategy, AI. Strong thought leadership."
Strategy Gal,Instagram,@strategy_gal,https://instagram.com/strategy_gal,753,,Jan 2026,8-12%,"AI Marketing, Tech Startups, LinkedIn AI","Fractional CMO for Tech Startups, LinkedIn AI Marketing Instructor. Builds AI agents - perfect fit for SwarmSync."
Edu Metaverse,Instagram,@edu_metaverse,https://instagram.com/edu_metaverse,2000,,Jan 2026,6-10%,"AI, EdTech, Innovation","Nano influencer focused on AI in education. Good for educational AI agent use cases."
Audrey Cdesisto,Instagram,@audreycdesisto,https://instagram.com/audreycdesisto,1500,,Jan 2026,8-12%,"Digital Marketing, AI Tools, SMB Marketing","Founder of Digital Marketing Stream. Good for marketing automation angle."
Sheikh Imran,Instagram,@sheikhimran01,https://instagram.com/sheikhimran01,6500,,Jan 2026,5-8%,"AI, Tech Content, San Francisco","SF-based AI/Tech content creator. Geographic alignment with tech hub."
Kathleen Walch,Twitter/X,@kath0134,https://twitter.com/kath0134,2600,,Jan 2026,High (Nano),"AI Strategy, Enterprise AI","Managing Partner at Cognilytica, AI Today podcast host. Strong enterprise AI credibility."
Ron Schmelzer,Twitter/X,@rschmelzer,https://twitter.com/rschmelzer,2500,,Jan 2026,High (Nano),"AI, Forbes Column, Entrepreneurship","Forbes AI Columnist, Triple-Exit Founder. Excellent thought leadership."
Kunal Jain,Twitter/X,@jainkunal,https://twitter.com/jainkunal,1700,,Jan 2026,High (Nano),"Data Science, ML, AI","Analytics Vidhya founder. Strong data science community reach."
Marek Rosa,Twitter/X,@marek_rosa,https://twitter.com/marek_rosa,10400,,Jan 2026,High (Micro),"LLM Agents, AI People","CEO working on LLM agents and AI People. Direct alignment with AI agents space."
Saas Theory,Twitter/X,@saas_theory,https://twitter.com/saas_theory,573,,Jan 2026,10-15%,"Indie Hacking, SaaS, Software Dev","Solopreneur sharing insights on indie hacking and growth. Perfect SaaS fit."
Raunak Hajela,Twitter/X,@raunakhajela,https://twitter.com/raunakhajela,549,,Jan 2026,10-15%,"SaaS, MVP Building, Product Development","Building BlitzitApp, helps SaaS founders build MVPs. Built 100 products in 5 years."
Jan The SaaS Guy,Twitter/X,@JanTheSaasGuy,https://twitter.com/JanTheSaasGuy,698,,Jan 2026,10-15%,"SaaS, Entrepreneurship, Building in Public","Ex-pro athlete turned entrepreneur. Building ViralBox in public."
Vinay Katiyar,Twitter/X,@VinayKrKatiyar,https://twitter.com/VinayKrKatiyar,10800,,Jan 2026,5-8%,"SaaS Products, Customer Acquisition","Builds & scales SaaS products. Shares playbooks to get customers."
Pauline CX,Twitter/X,@Pauline_Cx,https://twitter.com/Pauline_Cx,31400,,Jan 2026,4-6%,"Indie Hacker, SaaS","French indie hacker with 100k+ ARR. Strong build-in-public presence."
Mike Strives,Twitter/X,@mikestrives,https://twitter.com/mikestrives,28500,,Jan 2026,4-6%,"SaaS Building","SaaS builder with engaged following."
Exaltitude,TikTok,@exaltitude,https://tiktok.com/@exaltitude,1100,,Jan 2026,10-15%,"AI, Tech, Software Engineering","Founded by Engineer #19 at WhatsApp, ex-SWE Manager at Meta. High credibility."
Mark Savant Media,TikTok,@marksavantmedia,https://tiktok.com/@marksavantmedia,784,,Jan 2026,12-18%,"AI News, AI Tools, AI Tactics","Covers AI news, tools, and tactics. Perfect nano influencer for AI tools."
Deonna Does AI,TikTok,@deonnalearnai,https://tiktok.com/@deonnalearnai,5000,,Jan 2026,8-12%,"AI Learning, AI Tools","Teaches AI to beginners. Mentioned as top AI influencer to follow."
Kyle Balmer,TikTok,@iamkylebalmer,https://tiktok.com/@iamkylebalmer,8000,,Jan 2026,8-12%,"AI Tools, ChatGPT","Recommended AI influencer focusing on practical AI tools."
Developers Digest,YouTube,Developers Digest,https://youtube.com/@DevelopersDigest,51700,,Jan 2026,4-6%,"AI Tools, APIs, Frameworks, Developer Tutorials","Technical learning hub for programmers exploring AI tools. Great for developer audience."
Rithesh Sreenivasan,YouTube,Rithesh Sreenivasan,https://youtube.com/@RitheshSreenivasan,50600,,Jan 2026,3-5%,"Data Science, AI, ML, NLP","16 years tech industry experience. Explains concepts simply. Micro channel."
No Code MBA,YouTube,No Code MBA,https://youtube.com/@NoCodeMBA,33800,,Jan 2026,4-6%,"No-Code, AI Apps, Automation","Teaches building apps without code using AI. 20K newsletter subscribers."
Creator Magic,YouTube,Creator Magic AI,https://youtube.com/@CreatorMagicAI,15000,,Jan 2026,5-8%,"AI Tools, Workflow Automation, No-Code","Explores AI tools and no-code workflows. Perfect for automation focus."
AI Foundations,YouTube,AI Foundations,https://youtube.com/@AIFoundations,25000,,Jan 2026,5-8%,"AI Agents, Vibe Coding, Automation","Founded by Drake Surach. Focuses on building AI agents and automation."
Alex Finn,YouTube,Alex Finn,https://youtube.com/@AlexFinn,18000,,Jan 2026,6-10%,"No-Code AI Apps, SaaS Building","Founder/CEO of Creator Buddy. Built $300K ARR AI app. Teaches no-code AI apps."
Corbin Brown,YouTube,Corbin Brown,https://youtube.com/@CorbinBrown,12000,,Jan 2026,6-10%,"AI Startup, Cursor, Claude, V0","Founder of bumpups.com AI video assistant. Shares real AI startup building tips."
NocodeHackers,YouTube,NocodeHackers,https://youtube.com/@NocodeHackers,8500,,Jan 2026,6-10%,"No-Code Tools, Automation Workflows","Spanish-language channel teaching no-code automation."
MakerThrive,YouTube,MakerThrive,https://youtube.com/@MakerThrive,6000,,Jan 2026,7-12%,"No-Code Development, Tutorials","Tutorials on no-code development for beginners and experts."
WeAreNoCode,YouTube,WeAreNoCode,https://youtube.com/@WeAreNoCode,4500,,Jan 2026,8-12%,"No-Code, AI Tools, Training","Comprehensive training for building with no-code and AI tools."
JJ Englert,YouTube,JJ Englert,https://youtube.com/@JJEnglert,3500,,Jan 2026,8-15%,"No-Code Tutorials, Web App Development","Tips and best practices for no-code web app development."
Doc Williams,YouTube,Doc Williams,https://youtube.com/@DocWilliams,5000,,Jan 2026,7-12%,"No-Code, Non-Technical Entrepreneurs","Helps non-technical entrepreneurs build businesses with no-code."
Connor Finlayson,YouTube,Connor Finlayson,https://youtube.com/@ConnorFinlayson,4000,,Jan 2026,8-12%,"Websites, Data Management, Automation","Tutorials on websites, data management, and automation."
Adrian Ching,YouTube,Adrian Ching,https://youtube.com/@AdrianChing,3000,,Jan 2026,8-15%,"Micro SaaS, Reviews, Entrepreneurship","Reviews and micro SaaS ideas for entrepreneurs."
Jesse Showalter,YouTube,Jesse Showalter,https://youtube.com/@JesseShowalter,45000,,Jan 2026,4-6%,"Design, No-Code Tools, Freelancing","Design and no-code tools for freelancers. Strong design community."
Ambitious Alim,YouTube,Ambitious Alim,https://youtube.com/@AmbitiousAlim,7000,,Jan 2026,7-12%,"No-Code App Building, Academy","No-code app building academy content."
SuperPowersAI,TikTok,@superpowersai,https://tiktok.com/@superpowersai,15000,,Jan 2026,6-10%,"AI Tools, AI Influencer Recommendations","Curates and recommends AI influencers and tools."
Brand Nat,TikTok,@brandnat,https://tiktok.com/@brandnat,429600,,Jan 2026,5-8%,"AI Automation, 1-Person Business","Helps build 1-person businesses with AI automation. Slightly above target range but high engagement."
Yohei Nakajima,Twitter/X,@yoheinakajima,https://twitter.com/yoheinakajima,107700,,Jan 2026,3-5%,"AI Agents, BabyAGI, VC","Creator of BabyAGI. VC at Untapped VC. Above target but key AI agents influencer."
Sarah Burnett,Twitter/X,@sarahburnett,https://twitter.com/sarahburnett,11300,,Jan 2026,5-8%,"AI, Technology, Board Advisor","Author, analyst, technology evangelist. Just above 10K threshold."
Bernard Marr,Instagram,@bernard.marr,https://instagram.com/bernard.marr,24500,,Jan 2026,4-6%,"Business, Tech, Data, AI","Best-selling author and futurist. Above target but strong credibility."
PardoeAI,Instagram,@pardoeai,https://instagram.com/pardoeai,23200,,Jan 2026,5-8%,"AI Influencer, Keynote Speaker","Global AI Influencer, investor and advisor. Strong AI focus."
Shubham Saboo,Twitter/X,@Shubham_Saboo,https://twitter.com/Shubham_Saboo,15000,,Jan 2026,6-10%,"LLMs, RAG, AI Agents","AI developer from India. Shares daily tips on building AI applications."
Ecem Karaman,Twitter/X,@EcemKaraman,https://twitter.com/EcemKaraman,8000,,Jan 2026,6-10%,"AI Security, Enterprise AI","Lead Software Engineer at JPMorgan Chase. AI security focus."
Angelica Automates,TikTok,@angelica_automates,https://tiktok.com/@angelica_automates,58300,,Jan 2026,5-8%,"Automation, Make.com, ChatGPT","Founder of Social by Greenwood Apps. Teaches business automation. Above target but perfect fit."
ChatGPT For Me,TikTok,@chatgptforme,https://tiktok.com/@chatgptforme,53800,,Jan 2026,5-8%,"AI, Automation, Revenue Apps","Helps entrepreneurs with AI and automation. Above target but strong engagement."
Sabrina Ramonov,TikTok,@sabrina_ramonov,https://tiktok.com/@sabrina_ramonov,1300000,,Jan 2026,4-6%,"AI Automation, Social Media, SaaS","1M+ followers, $10M exit. Founder of Blotato. Major AI automation voice - partnership potential."
Jack Roberts,TikTok,@jackroberts,https://tiktok.com/@jackroberts,25000,,Jan 2026,6-10%,"AI Tips, Content Creation","Top AI creator mentioned alongside major influencers."
Preston Rhodes,TikTok,@prestonrhodes,https://tiktok.com/@prestonrhodes,20000,,Jan 2026,6-10%,"AI Hacks, Automation","Mentioned as top AI creator in 2025."
Nate AI,TikTok,@nate_ai,https://tiktok.com/@nate_ai,18000,,Jan 2026,6-10%,"AI Content","Top AI content creator recommendation."
Siraj Raval,YouTube,Siraj Raval,https://youtube.com/@SirajRaval,765000,,Jan 2026,2-4%,"AI Education, ML, Coding","Early AI education voice. Above target but influential."
Skill Leap AI,YouTube,Skill Leap AI,https://youtube.com/@SkillLeapAI,304000,,Jan 2026,3-5%,"AI Tools, Productivity, Tutorials","Founded by Saj Adib. Fast-paced AI tool tutorials. Above target but highly relevant."
AI Jason,YouTube,AI Jason,https://youtube.com/@AIJason,198000,,Jan 2026,3-5%,"AI Experiments, Products","Product designer sharing AI experiments. Above target but engaged audience."
VisualMakers,YouTube,VisualMakers,https://youtube.com/@VisualMakers,12000,,Jan 2026,6-10%,"No-Code, Tutorials (German)","German-language no-code tutorials with step-by-step guides."
Lilian Sevoumian,YouTube,Lilian Sevoumian,https://youtube.com/@LilianSevoumian,8000,,Jan 2026,7-12%,"Automation, App Creation (French)","French channel covering automation and app creation."
Geovany Ferreira Tech,YouTube,Geovany Ferreira Tech,https://youtube.com/@GeovanyFerreiraTech,6000,,Jan 2026,7-12%,"No-Code, AI (Portuguese)","Portuguese tutorials combining no-code with AI."
Digitiz,YouTube,Digitiz,https://youtube.com/@Digitiz,5500,,Jan 2026,7-12%,"Online Business, No-Code (French)","French channel teaching online business with no-code."
Renato Asse,YouTube,Renato Asse,https://youtube.com/@RenatoAsse,4500,,Jan 2026,8-12%,"No-Code Reviews (Portuguese)","Portuguese reviews and platform comparisons."
Leo Andrade,YouTube,Leo Andrade,https://youtube.com/@LeoAndrade,3500,,Jan 2026,8-15%,"No-Code Development (Portuguese)","Portuguese channel simplifying development for beginners."
Shubham Sharma,YouTube,Shubham Sharma,https://youtube.com/@ShubhamSharma,4000,,Jan 2026,8-12%,"Productivity, Automation (French)","French tips on productivity and automation."
Stan Verju,YouTube,Stan Verju,https://youtube.com/@StanVerju,3000,,Jan 2026,9-15%,"No-Code, Metaverse (French)","French no-code and metaverse expert."
The AI Advantage,YouTube,The AI Advantage,https://youtube.com/@TheAIAdvantage,380000,,Jan 2026,4-6%,"AI Tools, Productivity, Workflows","Hosted by Igor Pogany. Practical AI workflows. Above target but key voice."
How I AI,YouTube,How I AI,https://youtube.com/@HowIAI,45000,,Jan 2026,5-8%,"AI Implementation, Practical Use Cases","Practical AI implementation tutorials."
Matt Wolfe,YouTube,Matt Wolfe,https://youtube.com/@MattWolfe,520000,,Jan 2026,3-5%,"AI News, AI Tools","Major AI tools reviewer. Above target but influential for partnerships."
Wes Roth,YouTube,Wes Roth,https://youtube.com/@WesRoth,280000,,Jan 2026,4-6%,"AI News, Analysis","AI news and analysis. Above target but engaged audience."
